id,bedrooms,bathrooms,floors,condition,grade,sqft_above,yr_built,zipcode,sqft_living15,sqft_lot15,price
7129300520,3,1,1,3,7,1180,1955,98178,1340,5650,221900
6414100192,3,2,2,3,7,2170,1951,98125,1690,7639,538000
5631500400,2,1,1,3,6,770,1933,98028,2720,8062,180000
2487200875,4,3,1,5,7,1050,1965,98136,1360,5000,604000
1954400510,3,2,1,3,8,1680,1987,98074,1800,7503,510000
7237550310,4,4,1,3,11,3890,2001,98053,4760,101930,1230000
1321400060,3,2,2,3,7,1715,1995,98003,2238,6819,257500
2008000270,3,2,1,3,7,1060,1963,98198,1650,9711,291850
2414600126,3,1,1,3,7,1050,1960,98146,1780,8113,229500
3793500160,3,2,2,3,7,1890,2003,98038,2390,7570,323000
1736800520,3,2,1,3,8,1860,1965,98007,2210,8925,662500
9212900260,2,1,1,4,7,860,1942,98115,1330,6000,468000
114101516,3,1,2,4,7,1430,1927,98028,1780,12697,310000
6054650070,3,2,1,4,7,1370,1977,98074,1370,10208,400000
1175000570,5,2,2,3,7,1810,1900,98107,1360,4850,530000
9297300055,4,3,2,3,9,1980,1979,98126,2140,4000,650000
1875500060,3,2,2,3,7,1890,1994,98019,1890,14018,395000
6865200140,4,1,2,4,7,1600,1916,98103,1610,4300,485000
16000397,2,1,1,4,7,1200,1921,98002,1060,5095,189000
7983200060,3,1,1,4,7,1250,1969,98003,1280,8850,230000
6300500875,4,2,1,4,7,860,1947,98133,1400,4980,385000
2524049179,3,3,1,3,9,2330,1968,98040,4110,20336,2000000
7137970340,5,2,2,3,8,2270,1995,98092,2240,7005,285000
8091400200,2,2,1,3,7,1070,1985,98030,1220,8386,252700
3814700200,3,2,2,4,8,2450,1985,98030,2200,6865,329000
1202000200,3,2,2,5,6,1710,1941,98002,1030,4705,233000
1794500383,3,2,2,3,8,1750,1915,98119,1760,3573,937000
3303700376,3,1,2,5,8,1400,1909,98112,1860,3861,667000
5101402488,3,2,1,3,7,790,1948,98115,1520,6235,438000
1873100390,4,2,2,3,8,2570,2005,98052,2630,6026,719000
8562750320,3,2,2,3,8,2320,2003,98027,2580,3980,580500
2426039314,2,2,3,3,7,1190,2005,98133,1390,1756,280000
461000390,4,2,2,4,7,1510,1929,98117,1460,5000,687500
7589200193,3,1,2,4,8,1090,1929,98117,1570,5080,535000
7955080270,4,3,1,3,7,1280,1981,98058,2020,8720,322500
9547205180,3,2,2,3,8,1510,1930,98115,1590,3264,696000
9435300030,4,1,1,1,5,930,1933,98052,2160,11467,550000
2768000400,4,2,2,4,8,2360,1904,98107,1730,4700,640000
7895500070,4,1,1,2,7,890,1969,98001,1290,7800,240000
2078500320,4,2,2,3,8,2620,1996,98056,2620,11884,605000
5547700270,4,2,2,3,9,2570,2000,98074,2470,5669,625000
7766200013,4,2,1,3,8,2600,1984,98166,2410,30617,775000
7203220400,5,3,2,3,9,3595,2014,98053,3625,5639,861990
9270200160,3,1,2,3,7,1570,1922,98119,1580,2640,685000
1432701230,3,1,1,4,6,920,1959,98058,1340,8808,309000
8035350320,3,2,2,3,8,3160,2003,98019,3050,9232,488000
8945200830,3,1,1,3,6,990,1966,98023,1228,8840,210490
4178300310,4,2,2,4,9,2290,1981,98007,2680,13685,785000
9215400105,3,2,1,4,7,1250,1953,98115,970,5100,450000
822039084,3,2,1,5,9,2165,1953,98070,2680,72513,1350000
5245600105,3,1,1,3,7,1190,1955,98148,1190,9364,228000
7231300125,5,2,1,4,8,1640,1966,98056,1990,9133,345000
7518505990,3,2,1,4,7,1000,1950,98117,1410,4080,600000
3626039271,2,2,1,3,7,990,1981,98117,1480,6738,585000
4217401195,5,2,2,3,8,2130,1927,98105,2730,6000,920000
9822700295,4,2,2,3,9,2830,1995,98105,1950,5000,885000
9478500640,4,2,2,3,7,2250,2008,98042,2250,4500,292500
2799800710,3,2,2,3,8,2420,2003,98042,2690,4750,301000
7922800400,5,3,2,4,8,3250,1968,98008,2960,11044,951000
8079040320,4,3,2,3,8,1850,1991,98059,2270,8542,430000
1516000055,3,2,1,4,8,1590,1959,98166,2570,18900,650000
9558200045,3,2,1,3,7,1260,1954,98148,1290,8750,289000
5072410070,3,2,2,5,8,2519,1973,98166,2500,9500,505000
9528102996,3,2,3,3,8,1540,2014,98115,1580,3090,549000
1189001180,3,2,1,3,7,1110,1979,98122,1440,4080,425000
3253500160,3,3,2,5,7,1770,1925,98144,1440,4000,317625
3394100030,4,2,2,3,10,2720,1989,98004,2750,11049,975000
3717000160,4,2,2,3,7,2240,2005,98001,2221,4557,287000
1274500060,3,1,1,4,7,1000,1968,98042,1010,12635,204000
1802000060,5,2,1,3,8,1600,1965,98004,3390,20158,1330000
1525059190,5,3,1,4,11,3070,1973,98005,3530,38917,1040000
1049000060,3,2,1,4,7,1260,1972,98034,1640,4745,325000
8820901275,4,2,2,5,7,2250,1916,98125,1510,7807,571000
